,,Py1,Py2,Py3,Py4
x,position,x,x,x,x
y,position,,x,x,x
z,position,,,x,x
w,position,,,,x
,,,,,
s,parametric,x,x,x,x
t,time,x,x,x,x
,,,,,
v,velocity,x,x,x,x
vx,velocity,x,x,x,x
vy,velocity,,x,x,x
vz,velocity,,,x,x
vw,velocity,,,,x
,,,,,
p,position,x,x,x,x
px,position,x,x,x,x
py,position,,x,x,x
pz,position,,,x,x
pw,position,,,x,x
,,,,,
a,acceleration,,,,
ax,acceleration,,,,
ay,acceleration,,,,
az,acceleration,,,,
aw,acceleration,,,,
,,,,,
lx,dimension,,,,
ly,dimension,,,,
lz,dimension,,,,
l,dimension,,,,
,,,,,
r,radius,,,,
,,,,,
c,text color,,,,
f,fill color,,,,
,,,,,
cr,text red,,,,
cg,text green,,,,
cb,text blue,,,,
ca,text alpha,,,,
,,,,,
fr,fill red,,,,
fg,fill green,,,,
fb,fill blue,,,,
fa,fill alpha,,,,
,,,,,
r,rotation,,,,
rx,rotation about x,,,,
ry,rotation about y,,,,
rz,rotation about z,,,,
